method,totalConfigs,sleepyline.cause,config.Count,proportion
BIS,14666,java/util/concurrent/atomic/AtomicReferenceFieldUpdater.getAndSet(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,7,0.0004772944224737488
BIS,14666,java/util/concurrent/atomic/AtomicReferenceFieldUpdater.newUpdater(Ljava/lang/Class;Ljava/lang/Class;Ljava/lang/String;)Ljava/util/concurrent/atomic/AtomicReferenceFieldUpdater;,36,0.002454657029864994
BIS,14666,java/util/concurrent/atomic/AtomicReferenceFieldUpdater.set(Ljava/lang/Object;Ljava/lang/Object;)V,39,0.0026592117823537433
BIS,14666,java/util/concurrent/locks/Condition.await()V,1,6.818491749624983e-05
BIS,14666,java/util/concurrent/locks/Condition.await(JLjava/util/concurrent/TimeUnit;)Z,12,0.000818219009954998
BIS,14666,java/util/concurrent/locks/Condition.signal()V,12,0.000818219009954998
BIS,14666,java/util/concurrent/locks/Condition.signalAll()V,1,6.818491749624983e-05
BIS,14666,java/util/concurrent/locks/Lock.lock()V,144,0.009818628119459976
BIS,14666,java/util/concurrent/locks/Lock.newCondition()Ljava/util/concurrent/locks/Condition;,12,0.000818219009954998
BIS,14666,java/util/concurrent/locks/Lock.unlock()V,115,0.007841265512068731
BIS,14666,java/util/concurrent/locks/LockSupport.park(Ljava/lang/Object;)V,3,0.0002045547524887495
